season,venue,team,opposition_team,player,player_role,balls_faced,strike_rate,runs_scored,overs_bowled,economy,wickets
2016,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,2.0,6.2,1.0
2016,M Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,Mohammed Shami,bowler,,,,4.0,7.31,4.0
2016,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,KL Rahul,batsman,70.0,106.82,74.0,,,
2016,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,Rishabh Pant,batsman,12.0,144.92,17.0,,,
2016,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,2.0,9.31,5.0
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Sunil Narine,bowler,,,,2.0,5.61,2.0
2016,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,2.0,8.74,4.0
2016,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,5.91,1.0
2016,Wankhede Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Shubman Gill,batsman,54.0,144.12,77.0,,,
2016,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Shubman Gill,batsman,12.0,106.52,12.0,,,
2016,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Rishabh Pant,batsman,49.0,132.59,64.0,,,
2016,MA Chidambaram Stadium,Mumbai Indians,Delhi Capitals,Shubman Gill,batsman,56.0,146.23,81.0,,,
2016,Eden Gardens,Chennai Super Kings,Mumbai Indians,Virat Kohli,batsman,50.0,130.55,65.0,,,
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunil Narine,bowler,,,,2.0,8.26,3.0
2016,MA Chidambaram Stadium,Sunrisers Hyderabad,Delhi Capitals,Rishabh Pant,batsman,65.0,140.89,91.0,,,
2016,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,KL Rahul,batsman,55.0,163.87,90.0,,,
2016,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Ravindra Jadeja,bowler,,,,2.0,7.59,0.0
2016,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Rishabh Pant,batsman,13.0,121.16,15.0,,,
2016,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Rohit Sharma,batsman,67.0,120.63,80.0,,,
2016,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,KL Rahul,batsman,14.0,113.24,15.0,,,
2016,Eden Gardens,Chennai Super Kings,Mumbai Indians,Virat Kohli,batsman,28.0,141.88,39.0,,,
2016,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Rishabh Pant,batsman,42.0,168.35,70.0,,,
2016,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,Jasprit Bumrah,bowler,,,,2.0,6.97,0.0
2016,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,3.0,9.73,2.0
2016,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,Virat Kohli,batsman,65.0,109.07,70.0,,,
2016,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Sunil Narine,bowler,,,,3.0,5.96,2.0
2016,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Virat Kohli,batsman,34.0,118.65,40.0,,,
2016,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Rohit Sharma,batsman,40.0,131.54,52.0,,,
2016,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Virat Kohli,batsman,47.0,124.15,58.0,,,
2016,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,KL Rahul,batsman,46.0,148.74,68.0,,,
2016,Arun Jaitley Stadium,Royal Challengers Bangalore,Chennai Super Kings,Ravindra Jadeja,bowler,,,,2.0,6.56,3.0
2016,MA Chidambaram Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Rohit Sharma,batsman,29.0,173.17,50.0,,,
2016,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Rishabh Pant,batsman,65.0,111.51,72.0,,,
2016,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,6.87,0.0
2016,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Shubman Gill,batsman,33.0,170.86,56.0,,,
2016,Arun Jaitley Stadium,Mumbai Indians,Chennai Super Kings,Rishabh Pant,batsman,68.0,131.19,89.0,,,
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,4.0,8.03,1.0
2016,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Rishabh Pant,batsman,12.0,152.07,18.0,,,
2016,M Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,Sunil Narine,bowler,,,,4.0,5.47,1.0
2016,Eden Gardens,Chennai Super Kings,Delhi Capitals,Rishabh Pant,batsman,47.0,123.93,58.0,,,
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,3.0,6.76,5.0
2016,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Rishabh Pant,batsman,37.0,131.48,48.0,,,
2016,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Jasprit Bumrah,bowler,,,,2.0,9.42,0.0
2016,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,4.0,5.64,4.0
2016,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Ravindra Jadeja,bowler,,,,3.0,7.84,3.0
2016,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Virat Kohli,batsman,24.0,111.28,26.0,,,
2016,Wankhede Stadium,Royal Challengers Bangalore,Delhi Capitals,Sunil Narine,bowler,,,,3.0,6.31,5.0
2016,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Rohit Sharma,batsman,63.0,174.79,110.0,,,
2016,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Sunil Narine,bowler,,,,2.0,8.62,3.0
2016,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Rohit Sharma,batsman,26.0,156.68,40.0,,,
2016,Wankhede Stadium,Delhi Capitals,Sunrisers Hyderabad,KL Rahul,batsman,35.0,119.82,41.0,,,
2016,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,3.0,9.26,0.0
2016,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Ravindra Jadeja,bowler,,,,4.0,6.76,3.0
2016,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,6.37,3.0
2016,Eden Gardens,Delhi Capitals,Mumbai Indians,Jasprit Bumrah,bowler,,,,4.0,9.05,1.0
2016,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Rohit Sharma,batsman,67.0,144.04,96.0,,,
2016,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,3.0,9.38,1.0
2016,Eden Gardens,Mumbai Indians,Delhi Capitals,Sunil Narine,bowler,,,,3.0,7.84,5.0
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Rohit Sharma,batsman,40.0,166.38,66.0,,,
2016,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Mohammed Shami,bowler,,,,4.0,9.26,3.0
2016,MA Chidambaram Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,7.15,5.0
2016,Arun Jaitley Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Virat Kohli,batsman,27.0,124.77,33.0,,,
2016,Arun Jaitley Stadium,Royal Challengers Bangalore,Mumbai Indians,Jasprit Bumrah,bowler,,,,3.0,5.02,1.0
2016,Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,3.0,9.17,2.0
2016,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Sunil Narine,bowler,,,,4.0,8.85,2.0
2016,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Rohit Sharma,batsman,67.0,133.3,89.0,,,
2016,Eden Gardens,Chennai Super Kings,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,4.0,5.69,1.0
2016,Arun Jaitley Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Rohit Sharma,batsman,49.0,126.82,62.0,,,
2016,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunil Narine,bowler,,,,2.0,6.15,0.0
2016,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,5.29,2.0
2016,Eden Gardens,Chennai Super Kings,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,4.0,5.61,1.0
2016,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Rohit Sharma,batsman,34.0,157.38,53.0,,,
2016,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,3.0,6.78,2.0
2016,Arun Jaitley Stadium,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,32.0,141.54,45.0,,,
2016,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,2.0,9.13,4.0
2016,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,3.0,9.51,2.0
2016,MA Chidambaram Stadium,Delhi Capitals,Sunrisers Hyderabad,Shubman Gill,batsman,18.0,143.81,25.0,,,
2016,Eden Gardens,Delhi Capitals,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,2.0,8.8,2.0
2016,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Rohit Sharma,batsman,43.0,169.18,72.0,,,
2016,MA Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,Virat Kohli,batsman,10.0,174.9,17.0,,,
2016,M Chinnaswamy Stadium,Chennai Super Kings,Sunrisers Hyderabad,KL Rahul,batsman,38.0,137.43,52.0,,,
2016,MA Chidambaram Stadium,Kolkata Knight Riders,Mumbai Indians,Mohammed Shami,bowler,,,,2.0,8.14,0.0
2016,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Jasprit Bumrah,bowler,,,,3.0,5.72,1.0
2016,Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,Jasprit Bumrah,bowler,,,,2.0,9.69,5.0
2016,Arun Jaitley Stadium,Mumbai Indians,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,2.0,9.37,2.0
2016,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,2.0,7.38,5.0
2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,4.0,6.7,0.0
2017,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Shubman Gill,batsman,30.0,165.24,49.0,,,
2017,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,4.0,6.21,4.0
2017,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Sunil Narine,bowler,,,,3.0,8.35,1.0
2017,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Jasprit Bumrah,bowler,,,,4.0,5.92,3.0
2017,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Rishabh Pant,batsman,51.0,144.18,73.0,,,
2017,M Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,KL Rahul,batsman,35.0,173.96,60.0,,,
2017,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,KL Rahul,batsman,34.0,140.54,47.0,,,
2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Shubman Gill,batsman,15.0,171.61,25.0,,,
2017,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Rohit Sharma,batsman,32.0,123.27,39.0,,,
2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,KL Rahul,batsman,69.0,166.78,115.0,,,
2017,MA Chidambaram Stadium,Delhi Capitals,Royal Challengers Bangalore,Mohammed Shami,bowler,,,,2.0,8.89,4.0
2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Shubman Gill,batsman,35.0,145.97,51.0,,,
2017,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Yuzvendra Chahal,bowler,,,,3.0,5.07,3.0
2017,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Shubman Gill,batsman,58.0,115.27,66.0,,,
2017,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Ravindra Jadeja,bowler,,,,4.0,9.74,1.0
2017,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Rohit Sharma,batsman,69.0,119.32,82.0,,,
2017,M Chinnaswamy Stadium,Kolkata Knight Riders,Delhi Capitals,Rohit Sharma,batsman,17.0,149.88,25.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,49.0,149.26,73.0,,,
2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Rohit Sharma,batsman,57.0,143.44,81.0,,,
2017,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Jasprit Bumrah,bowler,,,,3.0,8.98,2.0
2017,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,Jasprit Bumrah,bowler,,,,3.0,8.09,3.0
2017,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,8.14,0.0
2017,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Rishabh Pant,batsman,27.0,141.24,38.0,,,
2017,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Mohammed Shami,bowler,,,,4.0,7.07,1.0
2017,Eden Gardens,Sunrisers Hyderabad,Chennai Super Kings,Rohit Sharma,batsman,22.0,157.96,34.0,,,
2017,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,42.0,162.64,68.0,,,
2017,Wankhede Stadium,Chennai Super Kings,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,3.0,6.78,1.0
2017,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Shubman Gill,batsman,24.0,120.11,28.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,Rohit Sharma,batsman,25.0,112.64,28.0,,,
2017,Eden Gardens,Sunrisers Hyderabad,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,7.58,1.0
2017,MA Chidambaram Stadium,Delhi Capitals,Royal Challengers Bangalore,Shubman Gill,batsman,39.0,130.32,50.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Sunil Narine,bowler,,,,4.0,9.23,3.0
2017,MA Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,3.0,7.32,3.0
2017,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,KL Rahul,batsman,30.0,129.17,38.0,,,
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,KL Rahul,batsman,29.0,178.05,51.0,,,
2017,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,KL Rahul,batsman,46.0,174.66,80.0,,,
2017,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Sunil Narine,bowler,,,,2.0,6.63,4.0
2017,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Rishabh Pant,batsman,46.0,102.56,47.0,,,
2017,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,KL Rahul,batsman,36.0,125.99,45.0,,,
2017,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,KL Rahul,batsman,30.0,135.78,40.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,23.0,168.99,38.0,,,
2017,MA Chidambaram Stadium,Royal Challengers Bangalore,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,8.04,5.0
2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,7.46,3.0
2017,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Jasprit Bumrah,bowler,,,,2.0,8.68,2.0
2017,Arun Jaitley Stadium,Mumbai Indians,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,7.8,4.0
2017,Eden Gardens,Chennai Super Kings,Mumbai Indians,Mohammed Shami,bowler,,,,3.0,8.88,1.0
2017,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Rishabh Pant,batsman,14.0,169.62,23.0,,,
2017,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Rohit Sharma,batsman,70.0,168.32,117.0,,,
2017,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,8.6,2.0
2017,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,3.0,7.52,3.0
2017,MA Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Rohit Sharma,batsman,44.0,143.29,63.0,,,
2017,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunil Narine,bowler,,,,2.0,9.45,2.0
2017,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,KL Rahul,batsman,21.0,146.66,30.0,,,
2017,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,Shubman Gill,batsman,53.0,131.91,69.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Sunil Narine,bowler,,,,2.0,7.66,3.0
2017,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,6.84,1.0
2017,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Rohit Sharma,batsman,42.0,172.21,72.0,,,
2017,Wankhede Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,9.72,5.0
2017,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,4.0,8.2,1.0
2017,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,Virat Kohli,batsman,63.0,146.46,92.0,,,
2017,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Rishabh Pant,batsman,17.0,177.1,30.0,,,
2017,Wankhede Stadium,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,bowler,,,,3.0,7.1,4.0
2017,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,KL Rahul,batsman,69.0,134.99,93.0,,,
2017,Wankhede Stadium,Chennai Super Kings,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,7.41,2.0
2017,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Shubman Gill,batsman,44.0,153.99,67.0,,,
2017,Eden Gardens,Mumbai Indians,Sunrisers Hyderabad,KL Rahul,batsman,43.0,135.45,58.0,,,
2017,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Shubman Gill,batsman,13.0,150.39,19.0,,,
2017,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,2.0,8.79,2.0
2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunil Narine,bowler,,,,4.0,9.57,5.0
2017,Arun Jaitley Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunil Narine,bowler,,,,3.0,5.06,0.0
2017,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,9.96,2.0
2017,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,4.0,7.32,0.0
2017,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,KL Rahul,batsman,42.0,125.98,52.0,,,
2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,KL Rahul,batsman,40.0,118.31,47.0,,,
2017,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Shubman Gill,batsman,35.0,124.6,43.0,,,
2017,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Virat Kohli,batsman,37.0,114.39,42.0,,,
2017,Wankhede Stadium,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,batsman,21.0,154.65,32.0,,,
2017,MA Chidambaram Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Shubman Gill,batsman,28.0,122.24,34.0,,,
2017,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,3.0,8.93,0.0
2017,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Sunil Narine,bowler,,,,3.0,9.26,5.0
2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Virat Kohli,batsman,44.0,150.95,66.0,,,
2017,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Rohit Sharma,batsman,35.0,155.09,54.0,,,
2017,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,KL Rahul,batsman,56.0,102.12,57.0,,,
2017,MA Chidambaram Stadium,Sunrisers Hyderabad,Mumbai Indians,Shubman Gill,batsman,68.0,103.88,70.0,,,
2017,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Rishabh Pant,batsman,38.0,162.98,61.0,,,
2017,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,KL Rahul,batsman,36.0,151.21,54.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Mohammed Shami,bowler,,,,3.0,7.33,5.0
2017,Eden Gardens,Sunrisers Hyderabad,Royal Challengers Bangalore,Yuzvendra Chahal,bowler,,,,2.0,6.22,3.0
2017,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Sunil Narine,bowler,,,,3.0,7.31,3.0
2017,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,KL Rahul,batsman,17.0,121.82,20.0,,,
2017,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Rishabh Pant,batsman,19.0,152.17,28.0,,,
2017,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,Rohit Sharma,batsman,45.0,173.83,78.0,,,
2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Rishabh Pant,batsman,22.0,106.92,23.0,,,
2017,Eden Gardens,Chennai Super Kings,Sunrisers Hyderabad,Virat Kohli,batsman,59.0,163.44,96.0,,,
2017,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Shubman Gill,batsman,61.0,156.24,95.0,,,
2017,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,2.0,9.34,5.0
2017,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Mohammed Shami,bowler,,,,3.0,7.53,2.0
2017,Arun Jaitley Stadium,Sunrisers Hyderabad,Chennai Super Kings,Mohammed Shami,bowler,,,,2.0,8.99,5.0
2017,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,Jasprit Bumrah,bowler,,,,4.0,6.06,4.0
2017,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,Sunil Narine,bowler,,,,4.0,7.43,0.0
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Sunil Narine,bowler,,,,4.0,8.26,4.0
2017,Eden Gardens,Sunrisers Hyderabad,Chennai Super Kings,Mohammed Shami,bowler,,,,3.0,8.94,3.0
2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Virat Kohli,batsman,58.0,119.87,69.0,,,
2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,KL Rahul,batsman,43.0,141.96,61.0,,,
2017,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Rishabh Pant,batsman,60.0,154.44,92.0,,,
2017,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Jasprit Bumrah,bowler,,,,3.0,5.23,5.0
2017,Wankhede Stadium,Delhi Capitals,Sunrisers Hyderabad,Rishabh Pant,batsman,40.0,118.45,47.0,,,
2017,Eden Gardens,Delhi Capitals,Mumbai Indians,Shubman Gill,batsman,43.0,147.28,63.0,,,
2017,M Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Shubman Gill,batsman,19.0,129.26,24.0,,,
2017,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Jasprit Bumrah,bowler,,,,2.0,8.64,2.0
2017,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Shubman Gill,batsman,69.0,171.47,118.0,,,
2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Jasprit Bumrah,bowler,,,,2.0,7.71,3.0
2017,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Virat Kohli,batsman,63.0,126.1,79.0,,,
2017,Eden Gardens,Delhi Capitals,Chennai Super Kings,Rishabh Pant,batsman,19.0,157.97,30.0,,,
2017,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Rishabh Pant,batsman,42.0,167.97,70.0,,,
2017,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Virat Kohli,batsman,32.0,137.65,44.0,,,
2017,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Yuzvendra Chahal,bowler,,,,3.0,5.46,0.0
2017,Wankhede Stadium,Delhi Capitals,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,2.0,6.74,2.0
2017,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Shubman Gill,batsman,47.0,142.34,66.0,,,
2017,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Mohammed Shami,bowler,,,,2.0,6.02,2.0
2017,M Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Shubman Gill,batsman,57.0,103.71,59.0,,,
2017,M Chinnaswamy Stadium,Kolkata Knight Riders,Delhi Capitals,KL Rahul,batsman,68.0,136.35,92.0,,,
2017,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Rishabh Pant,batsman,34.0,173.7,59.0,,,
2017,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,2.0,8.75,4.0
2017,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Virat Kohli,batsman,55.0,148.48,81.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,5.57,2.0
2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,KL Rahul,batsman,53.0,133.95,70.0,,,
2017,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,4.0,8.49,2.0
2017,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,Rishabh Pant,batsman,39.0,139.29,54.0,,,
